345	[]	[229]
536	[523]	[312]
2271	[]	[719, 897, 1153, 1865, 202, 1200, 1366, 709, 1956, 1013]
3839	[3568]	[2982]
5159	[1671]	[743]
489	[]	[425]
8857	[3355]	[2138, 4502, 8771, 6251, 7392, 6058, 8353, 1954, 5475, 8590]
2675	[]	[1132]
3117	[141]	[231, 1129, 1484, 2771, 509, 1932, 719]
7226	[6319]	[1105, 2057, 3561, 4874, 6799, 2675, 5122, 2888]
3397	[]	[604, 995, 2101, 2915, 704, 1070, 2982]
5921	[1877]	[231, 468, 627, 893, 921, 1053, 1537, 2158, 3346, 3561, 3995, 4021, 4558, 4569, 4588, 4869, 4989, 5052, 5122, 5139, 5166, 5203, 5483, 5541, 5651, 5709, 5803, 5867, 771, 3634, 1105, 5498, 3133]
6319	[4998]	[456, 534, 790, 1053, 1767, 1877, 2217, 2313, 2789, 3337, 3360, 3541, 3662, 3905, 4054, 4136, 4297, 4313, 4866, 4874, 4989, 5122, 5588, 5823, 5826, 5840, 5856, 5892, 5921, 6091, 226, 5108, 855, 771, 1105, 3561, 1153, 5203]
9673	[]	[231]
696	[141]	[231]
6345	[5991]	[231, 704, 1629, 4699, 4887, 5803, 536]
2783	[535]	[428]
5007	[4538]	[231, 253, 736, 970, 2619, 3900, 4753, 3660]
5311	[1811]	[231]
7097	[2970]	[231, 341, 563, 688, 801, 851, 1188, 1239, 1297, 1609, 1660, 1704, 1950, 2017, 2041, 2055, 2289, 2319, 2420, 2651, 2989, 3000, 3414, 3429, 3654, 3747, 3753, 4041, 4148, 4198, 4217, 4591, 4793, 4837, 4848, 5010, 5020, 5064, 5236, 5396, 5404, 5689, 5812, 6178, 6398, 6449, 6485, 6558, 6593, 6697, 6787, 6824, 6973, 6997, 7043, 7053, 7062, 2198, 3700, 6134, 2610, 1314, 2386, 3348, 1040]
5387	[]	[231, 970, 1585, 2775, 340, 751]
9920	[7761]	[231]
1070	[817]	[434]
1574	[202]	[527]
6991	[]	[6916]
9426	[5457]	[2548, 2794, 3071, 7091, 1929, 5930, 2953, 2731]
2101	[1956]	[1366]
2208	[1084]	[232]
1995	[1564]	[232]
571	[496]	[232]
3705	[3087]	[862]
4124	[2892]	[238, 936, 1938, 2006, 3179, 4041, 644, 817, 1280, 1175, 3658, 1564, 3977, 1455, 606]
1707	[84]	[958, 1390, 980, 114]
2670	[2540]	[246]
8618	[536]	[240]
9592	[379]	[240]
8833	[]	[240]
4530	[2571]	[618]
4874	[35, 157, 205, 328, 334, 413, 510, 570, 649, 752, 794, 822, 857, 858, 903, 945, 1153, 1343, 1523, 1609, 1845, 1879, 1908, 2205, 2321, 2759, 3500, 3614, 3916, 4046, 4468, 4618, 4624, 4716, 4807, 1654, 1105, 855, 3561, 1285, 4088, 4824]	[241, 2187, 2754, 3342, 4028, 3723]
7386	[4352, 1484]	[243, 399, 458, 128]
7772	[10, 300, 312, 448, 499, 576, 694, 732, 892, 1273, 2008, 2153, 2199, 2224, 2261, 2424, 2514, 2533, 2899, 3085, 3381, 4156, 4372, 4386, 4460, 4489, 4510, 4695, 4993, 5121, 5306, 6309, 6992, 7052, 7179, 7289, 7386, 1574, 4238, 7541, 214, 6754, 2196, 3592, 827, 7555, 1664, 209, 203, 5457, 973, 443, 3166, 5445]	[873, 956, 2243, 2619, 3360, 5340, 5899, 5961, 5109, 6682, 6933, 3414, 98, 2914, 2614, 5172]
244	[]	[214]
3592	[704]	[2998]
5066	[363]	[1503, 3196, 4070, 1182, 827, 528, 751, 3250, 1602, 4502, 1348]
1371	[]	[246]
3206	[]	[1390, 86, 1553, 435, 1930, 1070]
9490	[86]	[1564]
5620	[]	[493]
1180	[]	[813, 831, 862]
9217	[3015]	[3140]
4526	[1541]	[308, 1564, 2027, 3348, 4070]
415	[]	[308]
1759	[984]	[257]
1129	[958]	[845]
743	[203]	[399]
1983	[203]	[1114]
4676	[2533]	[1794]
7114	[]	[2911]
